Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	14 Murcia, Región de		Overnight stays	Total		2006M07	307.731
National Total	14 Murcia, Región de		Overnight stays	Total		2006M06	236.558
National Total	14 Murcia, Región de		Overnight stays	Total		2006M05	234.807
National Total	14 Murcia, Región de		Overnight stays	Total		2006M04	251.935
National Total	14 Murcia, Región de		Overnight stays	Total		2006M03	226.756
National Total	14 Murcia, Región de		Overnight stays	Total		2006M02	188.259
National Total	14 Murcia, Región de		Overnight stays	Total		2006M01	141.006
National Total	14 Murcia, Región de		Overnight stays	Total		2005M12	135.633
National Total	14 Murcia, Región de		Overnight stays	Total		2005M11	153.264
National Total	14 Murcia, Región de		Overnight stays	Total		2005M10	205.710
National Total	14 Murcia, Región de		Overnight stays	Total		2005M09	278.024
National Total	14 Murcia, Región de		Overnight stays	Total		2005M08	355.459
National Total	14 Murcia, Región de		Overnight stays	Total		2005M07	280.357
National Total	14 Murcia, Región de		Overnight stays	Total		2005M06	245.066
National Total	14 Murcia, Región de		Overnight stays	Total		2005M05	236.288
National Total	14 Murcia, Región de		Overnight stays	Total		2005M04	218.392
National Total	14 Murcia, Región de		Overnight stays	Total		2005M03	231.887
National Total	14 Murcia, Región de		Overnight stays	Total		2005M02	168.525
National Total	14 Murcia, Región de		Overnight stays	Total		2005M01	146.355
National Total	14 Murcia, Región de		Overnight stays	Total		2004M12	132.161
National Total	14 Murcia, Región de		Overnight stays	Total		2004M11	141.389
National Total	14 Murcia, Región de		Overnight stays	Total		2004M10	191.499
National Total	14 Murcia, Región de		Overnight stays	Total		2004M09	261.131
National Total	14 Murcia, Región de		Overnight stays	Total		2004M08	308.969
National Total	14 Murcia, Región de		Overnight stays	Total		2004M07	277.213
National Total	14 Murcia, Región de		Overnight stays	Total		2004M06	237.353
National Total	14 Murcia, Región de		Overnight stays	Total		2004M05	233.956
National Total	14 Murcia, Región de		Overnight stays	Total		2004M04	249.183
National Total	14 Murcia, Región de		Overnight stays	Total		2004M03	215.394
National Total	14 Murcia, Región de		Overnight stays	Total		2004M02	191.410
National Total	14 Murcia, Región de		Overnight stays	Total		2004M01	164.994
National Total	14 Murcia, Región de		Overnight stays	Total		2003M12	131.112
National Total	14 Murcia, Región de		Overnight stays	Total		2003M11	167.638
National Total	14 Murcia, Región de		Overnight stays	Total		2003M10	206.454
National Total	14 Murcia, Región de		Overnight stays	Total		2003M09	279.716
National Total	14 Murcia, Región de		Overnight stays	Total		2003M08	323.032
National Total	14 Murcia, Región de		Overnight stays	Total		2003M07	283.518
National Total	14 Murcia, Región de		Overnight stays	Total		2003M06	241.258
National Total	14 Murcia, Región de		Overnight stays	Total		2003M05	227.811
National Total	14 Murcia, Región de		Overnight stays	Total		2003M04	249.775
National Total	14 Murcia, Región de		Overnight stays	Total		2003M03	215.178
National Total	14 Murcia, Región de		Overnight stays	Total		2003M02	168.696
National Total	14 Murcia, Región de		Overnight stays	Total		2003M01	158.973
National Total	14 Murcia, Región de		Overnight stays	Total		2002M12	129.712
National Total	14 Murcia, Región de		Overnight stays	Total		2002M11	162.938
National Total	14 Murcia, Región de		Overnight stays	Total		2002M10	192.537
National Total	14 Murcia, Región de		Overnight stays	Total		2002M09	271.755
National Total	14 Murcia, Región de		Overnight stays	Total		2002M08	304.495
National Total	14 Murcia, Región de		Overnight stays	Total		2002M07	276.576
National Total	14 Murcia, Región de		Overnight stays	Total		2002M06	218.701
National Total	14 Murcia, Región de		Overnight stays	Total		2002M05	210.579
National Total	14 Murcia, Región de		Overnight stays	Total		2002M04	199.498
National Total	14 Murcia, Región de		Overnight stays	Total		2002M03	227.261
National Total	14 Murcia, Región de		Overnight stays	Total		2002M02	151.704
National Total	14 Murcia, Región de		Overnight stays	Total		2002M01	110.144
National Total	14 Murcia, Región de		Overnight stays	Total		2001M12	101.914
National Total	14 Murcia, Región de		Overnight stays	Total		2001M11	158.779
National Total	14 Murcia, Región de		Overnight stays	Total		2001M10	196.631
National Total	14 Murcia, Región de		Overnight stays	Total		2001M09	272.744
National Total	14 Murcia, Región de		Overnight stays	Total		2001M08	317.063
National Total	14 Murcia, Región de		Overnight stays	Total		2001M07	295.014
National Total	14 Murcia, Región de		Overnight stays	Total		2001M06	221.729
National Total	14 Murcia, Región de		Overnight stays	Total		2001M05	202.431
National Total	14 Murcia, Región de		Overnight stays	Total		2001M04	234.385
National Total	14 Murcia, Región de		Overnight stays	Total		2001M03	198.176
National Total	14 Murcia, Región de		Overnight stays	Total		2001M02	152.995
National Total	14 Murcia, Región de		Overnight stays	Total		2001M01	118.924
National Total	14 Murcia, Región de		Overnight stays	Total		2000M12	101.887
National Total	14 Murcia, Región de		Overnight stays	Total		2000M11	140.812
National Total	14 Murcia, Región de		Overnight stays	Total		2000M10	201.793
National Total	14 Murcia, Región de		Overnight stays	Total		2000M09	242.183
National Total	14 Murcia, Región de		Overnight stays	Total		2000M08	308.860
National Total	14 Murcia, Región de		Overnight stays	Total		2000M07	277.071
National Total	14 Murcia, Región de		Overnight stays	Total		2000M06	246.656
National Total	14 Murcia, Región de		Overnight stays	Total		2000M05	202.063
National Total	14 Murcia, Región de		Overnight stays	Total		2000M04	232.791
National Total	14 Murcia, Región de		Overnight stays	Total		2000M03	188.688
National Total	14 Murcia, Región de		Overnight stays	Total		2000M02	163.007
National Total	14 Murcia, Región de		Overnight stays	Total		2000M01	109.219
National Total	14 Murcia, Región de		Overnight stays	Total		1999M12	90.928
National Total	14 Murcia, Región de		Overnight stays	Total		1999M11	111.056
National Total	14 Murcia, Región de		Overnight stays	Total		1999M10	182.823
National Total	14 Murcia, Región de		Overnight stays	Total		1999M09	246.569
National Total	14 Murcia, Región de		Overnight stays	Total		1999M08	303.229
National Total	14 Murcia, Región de		Overnight stays	Total		1999M07	272.872
National Total	14 Murcia, Región de		Overnight stays	Total		1999M06	228.023
National Total	14 Murcia, Región de		Overnight stays	Total		1999M05	195.451
National Total	14 Murcia, Región de		Overnight stays	Total		1999M04	211.167
National Total	14 Murcia, Región de		Overnight stays	Total		1999M03	188.013
National Total	14 Murcia, Región de		Overnight stays	Total		1999M02	134.974
National Total	14 Murcia, Región de		Overnight stays	Total		1999M01	113.675
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M09	239.938
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M08	335.730
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M07	284.106
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M06	258.718
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M05	268.820
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M04	248.011
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M03	203.829
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M02	148.711
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2025M01	107.613
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M12	138.009
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M11	164.277
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M10	206.635
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M09	245.029
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M08	317.953
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M07	287.013
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M06	246.180
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M05	247.710
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M04	216.737
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M03	220.386
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M02	156.900
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2024M01	95.639
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M12	129.177
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M11	147.150
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M10	181.933
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M09	213.056
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M08	313.005
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M07	279.006
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M06	228.905
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M05	208.650
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M04	245.883
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M03	186.546
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M02	132.000
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2023M01	96.756
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M12	121.125
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M11	131.093
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M10	183.750
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M09	199.114
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M08	312.718
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M07	279.455
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M06	215.117
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M05	209.806
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M04	223.997
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M03	136.475
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M02	108.210
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2022M01	66.903
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M12	99.477
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M11	109.198
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M10	149.300
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M09	174.169
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M08	305.328
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M07	254.340
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M06	151.808
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M05	85.867
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M04	65.093
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M03	59.556
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M02	40.585
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2021M01	32.433
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M12	42.460
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M11	37.410
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M10	65.626
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M09	93.567
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M08	176.458
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M07	125.094
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M06	39.221
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M05	10.589
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M04	0
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M03	76.221
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M02	143.079
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2020M01	92.572
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M12	122.726
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M11	137.736
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M10	176.475
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M09	219.403
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M08	326.851
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M07	274.597
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M06	224.354
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M05	233.222
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M04	214.723
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M03	205.514
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M02	148.931
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2019M01	111.164
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M12	128.074
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M11	164.390
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M10	206.476
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M09	219.917
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M08	315.800
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M07	262.618
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M06	217.257
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M05	199.619
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M04	222.714
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M03	220.424
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M02	143.499
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2018M01	94.322
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M12	125.907
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M11	147.683
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M10	197.141
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M09	220.827
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M08	332.420
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M07	277.263
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M06	202.037
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M05	189.323
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M04	232.679
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M03	178.776
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M02	135.865
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2017M01	93.191
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M12	120.501
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M11	130.322
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M10	184.684
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M09	214.514
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M08	322.207
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M07	278.264
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M06	194.075
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M05	187.333
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M04	174.945
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M03	200.749
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M02	137.825
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2016M01	93.675
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M12	108.391
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M11	112.515
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M10	154.653
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M09	212.043
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M08	308.501
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M07	257.340
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M06	187.020
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M05	160.771
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M04	193.784
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M03	167.101
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M02	126.706
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2015M01	87.844
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M12	101.359
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M11	125.146
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M10	164.228
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M09	197.096
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M08	315.465
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M07	258.295
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M06	197.017
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M05	184.917
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M04	197.031
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M03	156.164
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M02	116.564
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2014M01	76.058
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M12	94.433
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M11	128.340
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M10	143.584
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M09	203.040
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M08	328.765
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M07	267.705
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M06	206.662
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M05	192.658
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M04	163.306
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M03	193.190
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M02	115.209
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2013M01	81.455
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M12	92.104
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M11	111.682
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M10	142.364
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M09	209.679
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M08	300.565
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M07	263.567
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M06	206.239
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M05	172.123
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M04	186.062
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M03	159.220
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M02	120.651
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2012M01	91.142
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M12	92.248
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M11	141.296
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M10	171.835
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M09	226.109
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M08	305.085
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M07	275.901
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M06	212.262
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M05	197.684
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M04	200.033
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M03	153.140
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M02	121.629
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2011M01	88.049
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M12	104.727
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M11	151.448
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M10	185.870
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M09	224.817
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M08	306.326
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M07	260.711
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M06	224.102
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M05	184.802
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M04	201.422
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M03	169.901
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M02	122.299
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2010M01	84.709
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M12	99.893
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M11	138.701
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M10	167.675
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M09	215.931
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M08	292.939
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M07	264.292
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M06	213.710
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M05	209.169
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M04	201.869
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M03	179.069
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M02	136.187
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2009M01	85.364
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M12	96.927
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M11	162.121
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M10	198.383
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M09	237.303
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M08	296.717
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M07	265.473
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M06	227.008
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M05	222.535
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M04	198.825
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M03	222.625
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M02	164.822
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2008M01	105.051
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M12	138.704
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M11	175.914
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M10	187.268
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M09	256.904
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M08	314.043
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M07	288.861
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M06	250.197
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M05	227.014
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M04	237.323
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M03	212.503
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M02	165.997
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2007M01	121.466
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M12	100.399
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M11	135.439
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M10	175.414
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M09	219.707
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M08	296.380
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M07	262.186
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M06	191.328
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M05	193.419
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M04	203.910
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M03	181.758
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M02	153.493
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2006M01	112.342
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M12	109.298
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M11	118.755
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M10	155.525
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M09	232.312
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M08	299.557
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M07	236.892
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M06	200.249
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M05	195.663
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M04	177.036
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M03	184.348
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M02	131.663
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2005M01	116.948
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M12	108.832
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M11	110.403
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M10	144.057
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M09	212.220
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M08	261.209
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M07	228.634
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M06	195.273
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M05	187.872
National Total	14 Murcia, Región de		Overnight stays	Total	Residents in Spain	2004M04	200.820
